From,To,From_FIPS,To_FIPS
0,5,6001,6013
0,36,6001,6075
0,37,6001,6077
0,39,6001,6081
0,41,6001,6085
0,47,6001,6099
1,3,6005,6009
1,7,6005,6017
1,32,6005,6067
1,37,6005,6077
2,4,6007,6011
2,9,6007,6021
2,30,6007,6063
2,48,6007,6103
2,54,6007,6115
3,1,6009,6005
3,37,6009,6077
3,47,6009,6099
3,51,6009,6109
4,2,6011,6007
4,9,6011,6021
4,15,6011,6033
4,53,6011,6113
5,0,6013,6001
5,19,6013,6041
5,32,6013,6067
5,36,6013,6075
5,37,6013,6077
5,45,6013,6095
5,46,6013,6097
6,10,6015,6023
6,44,6015,6093
7,1,6017,6005
7,29,6017,6061
7,32,6017,6067
8,12,6019,6027
8,14,6019,6031
8,18,6019,6039
8,22,6019,6047
8,24,6019,6051
8,25,6019,6053
8,33,6019,6069
8,50,6019,6107
9,2,6021,6007
9,4,6021,6011
9,15,6021,6033
9,21,6021,6045
9,48,6021,6103
10,6,6023,6015
10,21,6023,6045
10,44,6023,6093
10,49,6023,6105
11,31,6025,6065
11,35,6025,6073
12,8,6027,6019
12,13,6027,6029
12,24,6027,6051
12,34,6027,6071
12,50,6027,6107
13,12,6029,6027
13,14,6029,6031
13,17,6029,6037
13,34,6029,6071
13,38,6029,6079
13,40,6029,6083
13,50,6029,6107
13,52,6029,6111
14,8,6031,6019
14,13,6031,6029
14,25,6031,6053
14,38,6031,6079
14,50,6031,6107
15,4,6033,6011
15,9,6033,6021
15,21,6033,6045
15,26,6033,6055
15,46,6033,6097
15,53,6033,6113
16,23,6035,6049
16,30,6035,6063
16,43,6035,6089
17,13,6037,6029
17,28,6037,6059
17,34,6037,6071
17,52,6037,6111
18,8,6039,6019
18,20,6039,6043
18,22,6039,6047
18,24,6039,6051
18,51,6039,6109
19,5,6041,6013
19,36,6041,6075
19,45,6041,6095
19,46,6041,6097
20,18,6043,6039
20,22,6043,6047
20,47,6043,6099
20,51,6043,6109
21,9,6045,6021
21,10,6045,6023
21,15,6045,6033
21,46,6045,6097
21,48,6045,6103
21,49,6045,6105
22,8,6047,6019
22,18,6047,6039
22,20,6047,6043
22,33,6047,6069
22,41,6047,6085
22,47,6047,6099
23,16,6049,6035
23,43,6049,6089
23,44,6049,6093
24,8,6051,6019
24,12,6051,6027
24,18,6051,6039
24,51,6051,6109
25,8,6053,6019
25,14,6053,6031
25,33,6053,6069
25,38,6053,6079
25,42,6053,6087
26,15,6055,6033
26,45,6055,6095
26,46,6055,6097
26,53,6055,6113
27,29,6057,6061
27,54,6057,6115
28,17,6059,6037
28,31,6059,6065
28,34,6059,6071
28,35,6059,6073
29,7,6061,6017
29,27,6061,6057
29,32,6061,6067
29,54,6061,6115
30,2,6063,6007
30,16,6063,6035
30,43,6063,6089
30,48,6063,6103
30,54,6063,6115
31,11,6065,6025
31,28,6065,6059
31,34,6065,6071
31,35,6065,6073
32,1,6067,6005
32,5,6067,6013
32,7,6067,6017
32,29,6067,6061
32,37,6067,6077
32,45,6067,6095
32,53,6067,6113
33,8,6069,6019
33,22,6069,6047
33,25,6069,6053
33,41,6069,6085
33,42,6069,6087
34,12,6071,6027
34,13,6071,6029
34,17,6071,6037
34,28,6071,6059
34,31,6071,6065
35,11,6073,6025
35,28,6073,6059
35,31,6073,6065
36,0,6075,6001
36,5,6075,6013
36,19,6075,6041
36,39,6075,6081
37,0,6077,6001
37,1,6077,6005
37,3,6077,6009
37,5,6077,6013
37,32,6077,6067
37,47,6077,6099
38,13,6079,6029
38,14,6079,6031
38,25,6079,6053
38,40,6079,6083
39,0,6081,6001
39,36,6081,6075
39,41,6081,6085
39,42,6081,6087
40,13,6083,6029
40,38,6083,6079
40,52,6083,6111
41,0,6085,6001
41,22,6085,6047
41,33,6085,6069
41,39,6085,6081
41,42,6085,6087
41,47,6085,6099
42,25,6087,6053
42,33,6087,6069
42,39,6087,6081
42,41,6087,6085
43,16,6089,6035
43,23,6089,6049
43,30,6089,6063
43,44,6089,6093
43,48,6089,6103
43,49,6089,6105
44,6,6093,6015
44,10,6093,6023
44,23,6093,6049
44,43,6093,6089
44,49,6093,6105
45,5,6095,6013
45,19,6095,6041
45,26,6095,6055
45,32,6095,6067
45,46,6095,6097
45,53,6095,6113
46,5,6097,6013
46,15,6097,6033
46,19,6097,6041
46,21,6097,6045
46,26,6097,6055
46,45,6097,6095
47,0,6099,6001
47,3,6099,6009
47,20,6099,6043
47,22,6099,6047
47,37,6099,6077
47,41,6099,6085
47,51,6099,6109
48,2,6103,6007
48,9,6103,6021
48,21,6103,6045
48,30,6103,6063
48,43,6103,6089
48,49,6103,6105
49,10,6105,6023
49,21,6105,6045
49,43,6105,6089
49,44,6105,6093
49,48,6105,6103
50,8,6107,6019
50,12,6107,6027
50,13,6107,6029
50,14,6107,6031
51,3,6109,6009
51,18,6109,6039
51,20,6109,6043
51,24,6109,6051
51,47,6109,6099
52,13,6111,6029
52,17,6111,6037
52,40,6111,6083
53,4,6113,6011
53,15,6113,6033
53,26,6113,6055
53,32,6113,6067
53,45,6113,6095
54,2,6115,6007
54,27,6115,6057
54,29,6115,6061
54,30,6115,6063
