From,To,From_FIPS,To_FIPS
0,19,42001,42041
0,25,42001,42055
0,59,42001,42133
1,2,42003,42005
1,3,42003,42007
1,9,42003,42019
1,55,42003,42125
1,57,42003,42129
2,1,42005,42003
2,9,42005,42019
2,14,42005,42031
2,29,42005,42063
2,30,42005,42065
2,57,42005,42129
3,1,42007,42003
3,9,42007,42019
3,33,42007,42073
3,55,42007,42125
4,6,42009,42013
4,10,42009,42021
4,26,42009,42057
4,28,42009,42061
4,49,42009,42111
5,13,42011,42029
5,32,42011,42071
5,34,42011,42075
5,35,42011,42077
5,42,42011,42091
5,48,42011,42107
6,4,42013,42009
6,10,42013,42021
6,12,42013,42027
6,15,42013,42033
6,28,42013,42061
7,37,42015,42081
7,50,42015,42115
7,51,42015,42117
7,58,42015,42131
8,35,42017,42077
8,42,42017,42091
8,44,42017,42095
8,46,42017,42101
9,1,42019,42003
9,2,42019,42005
9,3,42019,42007
9,14,42019,42031
9,33,42019,42073
9,39,42019,42085
9,53,42019,42121
10,4,42021,42009
10,6,42021,42013
10,15,42021,42033
10,29,42021,42063
10,49,42021,42111
10,57,42021,42129
11,35,42025,42077
11,36,42025,42079
11,41,42025,42089
11,44,42025,42095
11,48,42025,42107
12,6,42027,42013
12,15,42027,42033
12,16,42027,42035
12,28,42027,42061
12,40,42027,42087
12,52,42027,42119
13,5,42029,42011
13,21,42029,42045
13,32,42029,42071
13,42,42029,42091
14,2,42031,42005
14,9,42031,42019
14,30,42031,42065
14,53,42031,42121
15,6,42033,42013
15,10,42033,42021
15,12,42033,42027
15,16,42033,42035
15,22,42033,42047
15,29,42033,42063
15,30,42033,42065
16,12,42035,42027
16,15,42035,42033
16,37,42035,42081
16,47,42035,42105
16,52,42035,42119
17,36,42037,42079
17,37,42037,42081
17,43,42037,42093
17,45,42037,42097
17,48,42037,42107
18,23,42039,42049
18,39,42039,42085
18,53,42039,42121
18,54,42039,42123
19,0,42041,42001
19,20,42041,42043
19,25,42041,42055
19,59,42041,42133
20,19,42043,42041
20,32,42043,42071
20,34,42043,42075
20,45,42043,42097
20,48,42043,42107
20,59,42043,42133
21,13,42045,42029
21,42,42045,42091
21,46,42045,42101
22,15,42047,42033
22,30,42047,42065
22,38,42047,42083
22,54,42047,42123
23,18,42049,42039
23,54,42049,42123
24,27,42051,42059
24,49,42051,42111
24,55,42051,42125
24,57,42051,42129
25,0,42055,42001
25,19,42055,42041
25,26,42055,42057
25,28,42055,42061
26,4,42057,42009
26,25,42057,42055
26,28,42057,42061
27,24,42059,42051
27,55,42059,42125
28,4,42061,42009
28,6,42061,42013
28,12,42061,42027
28,25,42061,42055
28,26,42061,42057
28,40,42061,42087
29,2,42063,42005
29,10,42063,42021
29,15,42063,42033
29,30,42063,42065
29,57,42063,42129
30,2,42065,42005
30,14,42065,42031
30,15,42065,42033
30,22,42065,42047
30,29,42065,42063
31,36,42069,42079
31,41,42069,42089
31,50,42069,42115
31,56,42069,42127
31,58,42069,42131
32,5,42071,42011
32,13,42071,42029
32,20,42071,42043
32,34,42071,42075
32,59,42071,42133
33,3,42073,42007
33,9,42073,42019
33,39,42073,42085
34,5,42075,42011
34,20,42075,42043
34,32,42075,42071
34,48,42075,42107
35,5,42077,42011
35,8,42077,42017
35,11,42077,42025
35,42,42077,42091
35,44,42077,42095
35,48,42077,42107
36,11,42079,42025
36,17,42079,42037
36,31,42079,42069
36,41,42079,42089
36,48,42079,42107
36,58,42079,42131
37,7,42081,42015
37,16,42081,42035
37,17,42081,42037
37,43,42081,42093
37,45,42081,42097
37,47,42081,42105
37,51,42081,42117
37,52,42081,42119
38,22,42083,42047
38,47,42083,42105
38,54,42083,42123
39,9,42085,42019
39,18,42085,42039
39,33,42085,42073
39,53,42085,42121
40,12,42087,42027
40,28,42087,42061
40,52,42087,42119
41,11,42089,42025
41,31,42089,42069
41,36,42089,42079
41,44,42089,42095
41,56,42089,42127
42,5,42091,42011
42,8,42091,42017
42,13,42091,42029
42,21,42091,42045
42,35,42091,42077
42,46,42091,42101
43,17,42093,42037
43,37,42093,42081
43,45,42093,42097
44,8,42095,42017
44,11,42095,42025
44,35,42095,42077
44,41,42095,42089
45,17,42097,42037
45,20,42097,42043
45,37,42097,42081
45,43,42097,42093
45,48,42097,42107
45,52,42097,42119
46,8,42101,42017
46,21,42101,42045
46,42,42101,42091
47,16,42105,42035
47,37,42105,42081
47,38,42105,42083
47,51,42105,42117
48,5,42107,42011
48,11,42107,42025
48,17,42107,42037
48,20,42107,42043
48,34,42107,42075
48,35,42107,42077
48,36,42107,42079
48,45,42107,42097
49,4,42111,42009
49,10,42111,42021
49,24,42111,42051
49,57,42111,42129
50,7,42115,42015
50,31,42115,42069
50,56,42115,42127
50,58,42115,42131
51,7,42117,42015
51,37,42117,42081
51,47,42117,42105
52,12,42119,42027
52,16,42119,42035
52,37,42119,42081
52,40,42119,42087
52,45,42119,42097
53,9,42121,42019
53,14,42121,42031
53,18,42121,42039
53,39,42121,42085
53,54,42121,42123
54,18,42123,42039
54,22,42123,42047
54,23,42123,42049
54,38,42123,42083
54,53,42123,42121
55,1,42125,42003
55,3,42125,42007
55,24,42125,42051
55,27,42125,42059
55,57,42125,42129
56,31,42127,42069
56,41,42127,42089
56,50,42127,42115
57,1,42129,42003
57,2,42129,42005
57,10,42129,42021
57,24,42129,42051
57,29,42129,42063
57,49,42129,42111
57,55,42129,42125
58,7,42131,42015
58,31,42131,42069
58,36,42131,42079
58,50,42131,42115
59,0,42133,42001
59,19,42133,42041
59,20,42133,42043
59,32,42133,42071
