From,To,From_FIPS,To_FIPS
0,36,48001,48073
0,80,48001,48161
0,106,48001,48213
0,112,48001,48225
0,142,48001,48289
1,67,48003,48135
1,82,48003,48165
1,155,48003,48317
1,161,48003,48329
1,244,48003,48495
2,36,48005,48073
2,112,48005,48225
2,120,48005,48241
2,170,48005,48347
2,183,48005,48373
2,199,48005,48405
2,224,48005,48455
2,225,48005,48457
3,28,48007,48057
3,174,48007,48355
3,192,48007,48391
3,201,48007,48409
4,11,48009,48023
4,38,48009,48077
4,118,48009,48237
4,220,48009,48447
4,239,48009,48485
4,240,48009,48487
4,248,48009,48503
5,22,48011,48045
5,32,48011,48065
5,64,48011,48129
5,89,48011,48179
5,184,48011,48375
5,187,48011,48381
5,215,48011,48437
6,14,48013,48029
6,81,48013,48163
6,127,48013,48255
6,139,48013,48283
6,146,48013,48297
6,152,48013,48311
6,159,48013,48325
6,243,48013,48493
7,44,48015,48089
7,74,48015,48149
7,78,48015,48157
7,233,48015,48473
7,235,48015,48477
7,237,48015,48481
8,39,48017,48079
8,109,48017,48219
8,137,48017,48279
8,181,48017,48369
9,14,48019,48029
9,129,48019,48259
9,131,48019,48265
9,159,48019,48325
9,189,48019,48385
9,228,48019,48463
10,27,48021,48055
10,74,48021,48149
10,141,48021,48287
10,223,48021,48453
10,242,48021,48491
11,4,48023,48009
11,77,48023,48155
11,103,48023,48207
11,135,48023,48275
11,220,48023,48447
11,239,48023,48485
11,240,48023,48487
11,248,48023,48503
12,87,48025,48175
12,127,48025,48255
12,146,48025,48297
12,192,48025,48391
12,201,48025,48409
13,26,48027,48053
13,49,48027,48099
13,72,48027,48145
13,138,48027,48281
13,151,48027,48309
13,162,48027,48331
13,242,48027,48491
14,6,48029,48013
14,9,48029,48019
14,45,48029,48091
14,93,48029,48187
14,129,48029,48259
14,159,48029,48325
14,243,48029,48493
15,26,48031,48053
15,45,48031,48091
15,85,48031,48171
15,104,48031,48209
15,129,48031,48259
15,147,48031,48299
15,223,48031,48453
16,57,48033,48115
16,84,48033,48169
16,113,48033,48227
16,149,48033,48305
16,155,48033,48317
16,164,48033,48335
16,204,48033,48415
17,49,48035,48099
17,71,48035,48143
17,96,48035,48193
17,108,48035,48217
17,125,48035,48251
17,151,48035,48309
17,209,48035,48425
18,33,48037,48067
18,168,48037,48343
18,190,48037,48387
19,78,48039,48157
19,83,48039,48167
19,100,48039,48201
19,157,48039,48321
19,237,48039,48481
20,25,48041,48051
20,92,48041,48185
20,142,48041,48289
20,153,48041,48313
20,194,48041,48395
20,235,48041,48477
21,121,48043,48243
21,182,48043,48371
21,185,48043,48377
21,218,48043,48443
22,5,48045,48011
22,64,48045,48129
22,76,48045,48153
22,95,48045,48191
22,169,48045,48345
22,215,48045,48437
23,65,48047,48131
23,107,48047,48215
23,123,48047,48247
23,124,48047,48249
23,134,48047,48273
23,210,48047,48427
24,29,48049,48059
24,41,48049,48083
24,46,48049,48093
24,66,48049,48133
24,150,48049,48307
24,163,48049,48333
24,202,48049,48411
25,20,48051,48041
25,141,48051,48287
25,162,48051,48331
25,194,48051,48395
25,235,48051,48477
26,13,48053,48027
26,15,48053,48031
26,138,48053,48281
26,147,48053,48299
26,202,48053,48411
26,223,48053,48453
26,242,48053,48491
27,10,48055,48021
27,74,48055,48149
27,88,48055,48177
27,93,48055,48187
27,104,48055,48209
27,223,48055,48453
28,3,48057,48007
28,119,48057,48239
28,157,48057,48321
28,192,48057,48391
28,231,48057,48469
29,24,48059,48049
29,41,48059,48083
29,66,48059,48133
29,126,48059,48253
29,205,48059,48417
29,217,48059,48441
30,107,48061,48215
30,241,48061,48489
31,79,48063,48159
31,168,48063,48343
31,221,48063,48449
31,226,48063,48459
31,246,48063,48499
32,5,48065,48011
32,64,48065,48129
32,89,48065,48179
32,116,48065,48233
32,167,48065,48341
32,184,48065,48375
32,187,48065,48381
32,193,48065,48393
33,18,48067,48037
33,154,48067,48315
33,168,48067,48343
34,58,48069,48117
34,94,48069,48189
34,137,48069,48279
34,181,48069,48369
34,187,48069,48381
34,215,48069,48437
35,83,48071,48167
35,100,48071,48201
35,122,48071,48245
35,143,48071,48291
36,0,48073,48001
36,2,48073,48005
36,106,48073,48213
36,112,48073,48225
36,170,48073,48347
36,197,48073,48401
36,208,48073,48423
37,43,48075,48087
37,50,48075,48101
37,95,48075,48191
37,98,48075,48197
38,4,48077,48009
38,118,48077,48237
38,165,48077,48337
38,239,48077,48485
39,8,48079,48017
39,109,48079,48219
39,137,48079,48279
39,219,48079,48445
39,247,48079,48501
40,164,48081,48335
40,173,48081,48353
40,196,48081,48399
40,212,48081,48431
40,222,48081,48451
41,24,48083,48049
41,29,48083,48059
41,47,48083,48095
41,150,48083,48307
41,196,48083,48399
41,217,48083,48441
42,56,48085,48113
42,60,48085,48121
42,73,48085,48147
42,90,48085,48181
42,115,48085,48231
42,195,48085,48397
43,37,48087,48075
43,64,48087,48129
43,89,48087,48179
43,95,48087,48191
43,238,48087,48483
44,7,48089,48015
44,74,48089,48149
44,119,48089,48239
44,140,48089,48285
44,237,48089,48481
45,14,48091,48029
45,15,48091,48031
45,93,48091,48187
45,104,48091,48209
45,129,48091,48259
46,24,48093,48049
46,66,48093,48133
46,71,48093,48143
46,96,48093,48193
46,163,48093,48333
47,41,48095,48083
47,150,48095,48307
47,160,48095,48327
47,196,48095,48399
47,203,48095,48413
47,222,48095,48451
48,60,48097,48121
48,90,48097,48181
48,165,48097,48337
48,245,48097,48497
49,13,48099,48027
49,17,48099,48035
49,96,48099,48193
49,138,48099,48281
49,151,48099,48309
50,37,48101,48075
50,62,48101,48125
50,77,48101,48155
50,95,48101,48191
50,98,48101,48197
50,169,48101,48345
51,52,48103,48105
51,67,48103,48135
51,182,48103,48371
51,227,48103,48461
51,234,48103,48475
52,51,48105,48103
52,117,48105,48235
52,182,48105,48371
52,188,48105,48383
52,203,48105,48413
52,214,48105,48435
52,218,48105,48443
52,227,48105,48461
52,229,48105,48465
53,62,48107,48125
53,76,48107,48153
53,84,48107,48169
53,94,48107,48189
53,130,48107,48263
53,148,48107,48303
53,149,48107,48305
53,169,48107,48345
54,114,48109,48229
54,121,48109,48243
54,191,48109,48389
55,102,48111,48205
55,167,48111,48341
55,207,48111,48421
56,42,48113,48085
56,60,48113,48121
56,69,48113,48139
56,128,48113,48257
56,195,48113,48397
56,216,48113,48439
57,16,48115,48033
57,82,48115,48165
57,113,48115,48227
57,149,48115,48305
57,155,48115,48317
57,219,48115,48445
58,34,48117,48069
58,176,48117,48359
58,181,48117,48369
58,184,48117,48375
58,187,48117,48381
59,73,48119,48147
59,79,48119,48159
59,111,48119,48223
59,115,48119,48231
59,136,48119,48277
59,190,48119,48387
60,42,48121,48085
60,48,48121,48097
60,56,48121,48113
60,90,48121,48181
60,216,48121,48439
60,245,48121,48497
61,87,48123,48175
61,88,48123,48177
61,127,48123,48255
61,140,48123,48285
61,231,48123,48469
62,50,48125,48101
62,53,48125,48107
62,76,48125,48153
62,84,48125,48169
62,130,48125,48263
62,169,48125,48345
62,213,48125,48433
63,81,48127,48163
63,139,48127,48283
63,158,48127,48323
63,236,48127,48479
63,250,48127,48507
64,5,48129,48011
64,22,48129,48045
64,32,48129,48065
64,43,48129,48087
64,89,48129,48179
64,95,48129,48191
64,238,48129,48483
65,23,48131,48047
65,123,48131,48247
65,124,48131,48249
65,139,48131,48283
65,146,48131,48297
65,152,48131,48311
65,236,48131,48479
66,24,48133,48049
66,29,48133,48059
66,46,48133,48093
66,71,48133,48143
66,178,48133,48363
66,205,48133,48417
66,211,48133,48429
67,1,48135,48003
67,51,48135,48103
67,161,48135,48329
67,227,48135,48461
67,234,48135,48475
67,244,48135,48495
68,131,48137,48265
68,132,48137,48267
68,133,48137,48271
68,189,48137,48385
68,214,48137,48435
68,228,48137,48463
68,229,48137,48465
69,56,48139,48113
69,106,48139,48213
69,108,48139,48217
69,125,48139,48251
69,128,48139,48257
69,171,48139,48349
69,216,48139,48439
70,114,48141,48229
71,17,48143,48035
71,46,48143,48093
